  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_sort_cmp, bubble_sort_swaps, bubble_sort_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
  0,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
  1,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
  2,             1,               0,              0,         1,           0,          0,               1,                 0,                0,             1,               0,              0
  3,             2,               0,              0,         2,           0,          0,               3,                 0,                0,             3,               0,              0
  4,             4,               1,              0,         4,           0,          0,               6,                 0,                0,             6,               0,              0
  5,             5,               1,              0,         6,           0,          0,              10,                 0,                0,            11,               0,              0
  6,             9,               4,              0,        10,           0,          0,              15,                 0,                0,            15,               0,              0
  7,            12,               6,              0,        13,           0,          0,              21,                 0,                0,            20,               0,              0
  8,            13,               6,              0,        15,           0,          0,              28,                 0,                0,            26,               0,              0
  9,            14,               6,              0,        16,           0,          0,              36,                 0,                0,            34,               0,              0
 10,            16,               7,              0,        18,           0,          0,              45,                 0,                0,            40,               0,              0
 11,            18,               8,              0,        21,           0,          0,              55,                 0,                0,            47,               0,              0
 12,            19,               8,              0,        26,           0,          0,              66,                 0,                0,            54,               0,              0
 13,            20,               8,              0,        28,           0,          0,              78,                 0,                0,            62,               0,              0
 14,            21,               8,              0,        30,           0,          0,              91,                 0,                0,            67,               0,              0
 15,            22,               8,            993,        33,           0,          0,             105,                 0,                0,            75,               0,              0
 16,            23,               8,              0,        36,           0,          0,             120,                 0,                0,            84,               0,              0
 17,            24,               8,              0,        37,           0,          0,             136,                 0,                0,            94,               0,              0
 18,            25,               8,              0,        40,           0,          0,             153,                 0,                0,           102,               0,              0
 19,            27,               9,              0,        42,           0,          0,             171,                 0,                0,           112,               0,              0
 20,            28,               9,              0,        45,           0,          0,             190,                 0,                0,           121,               0,           1001
 21,            29,               9,              0,        47,           0,          0,             210,                 0,                0,           131,               0,              0
 22,            30,               9,              0,        49,           0,          0,             231,                 0,                0,           138,               0,              0
 23,            31,               9,              0,        53,           0,          0,             253,                 0,                0,           148,               0,              0
 24,            32,               9,              0,        59,           0,          0,             276,                 0,                0,           157,               0,              0
 25,            33,               9,              0,        61,           0,          0,             300,                 0,                0,           166,               0,              0
 26,            34,               9,              0,        63,           0,          0,             325,                 0,                0,           176,               0,              0
 27,            35,               9,              0,        67,           0,          0,             351,                 0,                0,           184,               0,              0
 28,            37,              10,              0,        69,           0,          0,             378,                 0,              997,           193,               0,              0
 29,            39,              11,              0,        73,           0,          0,             406,                 0,                0,           203,               0,              0
 30,            40,              11,              0,        78,           0,          0,             435,                 0,                0,           211,               0,              0
 31,            41,              11,              0,        82,           0,          0,             465,                 0,             1004,           221,               0,              0
 32,            42,              11,              0,        86,           0,          0,             496,                 0,                0,           229,               0,              0
 33,            43,              11,              0,        87,           0,          0,             528,                 0,                0,           241,               0,              0
 34,            44,              11,              0,        88,           0,        984,             561,                 0,                0,           254,               0,              0
 35,            46,              12,              0,        90,           0,          0,             595,                 0,                0,           266,               0,              0
 36,            48,              13,              0,        97,           0,          0,             630,                 0,              991,           277,               0,              0
 37,            50,              14,              0,       100,           0,          0,             666,                 0,                0,           289,               0,              0
 38,            55,              18,              0,       102,           0,          0,             703,                 0,             1010,           298,               0,              0
 39,            56,              18,              0,       108,           0,          0,             741,                 0,                0,           310,               0,              0
 40,            57,              18,              0,       111,           0,          0,             780,                 0,              998,           319,               0,              0
 41,            58,              18,              0,       113,           0,          0,             820,                 0,                0,           331,               0,              0
 42,            59,              18,              0,       115,           0,          0,             861,                 0,             1031,           344,               0,              0
 43,            61,              19,              0,       117,           0,          0,             903,                 0,                0,           355,               0,              0
 44,            63,              20,              0,       122,           0,        986,             946,                 0,                0,           365,               0,              0
 45,            65,              21,              0,       127,           0,          0,             990,                 0,                0,           377,               0,            993
 46,            66,              21,              0,       132,           0,          0,            1035,                 0,                0,           388,               0,              0
 47,            67,              21,              0,       135,           0,          0,            1081,                 0,              989,           400,               0,              0
 48,            68,              21,              0,       144,           0,          0,            1128,                 0,                0,           411,               0,           1001
 49,            69,              21,              0,       146,           0,          0,            1176,                 0,                0,           423,               0,              0
 50,            71,              22,            989,       146,           0,          0,            1225,                 0,                0,           434,               0,              0
 51,            72,              22,              0,       151,           0,          0,            1275,                 0,             1013,           446,               0,              0
 52,            73,              22,              0,       153,           0,          0,            1326,                 0,              993,           456,               0,              0
 53,            75,              23,              0,       158,           0,          0,            1378,                 0,                0,           470,               0,           1013
 54,            77,              24,              0,       162,           0,          0,            1431,                 0,                0,           481,               0,              0
 55,            78,              24,           1004,       169,           0,          0,            1485,                 0,                0,           491,               0,              0
 56,            80,              25,              0,       172,           0,          0,            1540,                 0,             1000,           502,               0,              0
 57,            81,              25,              0,       175,           0,          0,            1596,                 0,              999,           512,               0,              0
 58,            82,              25,              0,       176,           0,          0,            1653,                 0,             1000,           523,               0,              0
