   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_sort_cmp, bubble_sort_swaps, bubble_sort_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
   0,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
   1,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
   2,             1,               0,              0,         1,           0,          0,               1,                 0,                0,             1,               0,              0
   3,             3,               2,              0,         3,           0,          0,               3,                 0,                0,             3,               0,              0
   4,             4,               2,              0,         5,           0,          0,               6,                 0,                0,             7,               0,              0
   5,             5,               2,              0,         6,           0,          0,              10,                 0,                0,            12,               0,              0
   6,             6,               2,              0,         8,           0,          0,              15,                 0,                0,            16,               0,              0
   7,             7,               2,           1006,        10,           0,          0,              21,                 0,                0,            21,               0,              0
   8,             8,               2,              0,        13,           0,          0,              28,                 0,                0,            27,               0,              0
   9,             9,               2,              0,        14,           0,          0,              36,                 0,                0,            35,               0,              0
  10,            10,               2,              0,        16,           0,          0,              45,                 0,                0,            41,               0,              0
  11,            11,               2,              0,        18,           0,          0,              55,                 0,                0,            49,               0,              0
  12,            13,               3,              0,        21,           0,          0,              66,                 0,                0,            55,               0,              0
  13,            14,               3,              0,        24,           0,          0,              78,                 0,                0,            63,               0,              0
  14,            15,               3,              0,        26,           0,          0,              91,                 0,                0,            69,               0,              0
  15,            16,               3,              0,        30,           0,          0,             105,                 0,                0,            76,               0,              0
  16,            17,               3,              0,        33,           0,          0,             120,                 0,                0,            83,               0,              0
  17,            19,               4,              0,        34,           0,          0,             136,                 0,              990,            94,               0,              0
  18,            20,               4,              0,        38,           0,          0,             153,                 0,                0,           102,               0,              0
  19,            21,               4,              0,        40,           0,          0,             171,                 0,                0,           112,               0,              0
  20,            23,               5,              0,        41,           0,          0,             190,                 0,                0,           120,               0,              0
  21,            25,               6,              0,        45,           0,          0,             210,                 0,                0,           130,               0,              0
  22,            26,               6,              0,        50,           0,          0,             231,                 0,                0,           138,               0,           1026
  23,            27,               6,              0,        51,           0,          0,             253,                 0,                0,           148,               0,              0
  24,            28,               6,              0,        55,           0,          0,             276,                 0,                0,           156,               0,              0
  25,            29,               6,              0,        57,           0,          0,             300,                 0,                0,           166,               0,              0
  26,            31,               7,              0,        62,           0,          0,             325,                 0,                0,           174,               0,            976
  27,            33,               8,              0,        65,           0,          0,             351,                 0,                0,           184,               0,              0
  28,            36,              10,              0,        67,           0,          0,             378,                 0,                0,           192,               0,              0
  29,            37,              10,              0,        73,           0,          0,             406,                 0,                0,           202,               0,           1006
  30,            38,              10,              0,        77,           0,          0,             435,                 0,                0,           210,               0,              0
  31,            40,              11,              0,        81,           0,          0,             465,                 0,                0,           220,               0,              0
  32,            41,              11,              0,        85,           0,          0,             496,                 0,             1001,           230,               0,              0
  33,            42,              11,              0,        86,           0,          0,             528,                 0,                0,           243,               0,              0
  34,            43,              11,              0,        89,           0,          0,             561,                 0,                0,           254,               0,            996
  35,            45,              12,              0,        90,           0,          0,             595,                 0,                0,           266,               0,              0
  36,            46,              12,              0,        95,           0,          0,             630,                 0,                0,           278,               0,              0
  37,            47,              12,              0,        98,           0,          0,             666,                 0,             1012,           290,               0,              0
  38,            48,              12,              0,       101,           0,          0,             703,                 0,                0,           298,               0,              0
  39,            49,              12,              0,       105,           0,          0,             741,                 0,             1004,           311,               0,              0
  40,            51,              13,              0,       107,           0,          0,             780,                 0,                0,           321,               0,              0
  41,            52,              13,              0,       110,           0,          0,             820,                 0,              999,           333,               0,              0
  42,            53,              13,              0,       112,           0,          0,             861,                 0,                0,           342,               0,            990
  43,            54,              13,              0,       116,           0,          0,             903,                 0,                0,           354,               0,              0
  44,            55,              13,              0,       121,           0,          0,             946,                 0,              992,           364,               0,              0
  45,            56,              13,              0,       125,           0,          0,             990,                 0,                0,           376,               0,              0
  46,            57,              13,              0,       125,           0,        999,            1035,                 0,                0,           389,               0,              0
  47,            59,              14,              0,       131,           0,          0,            1081,                 0,             1017,           399,               0,              0
  48,            61,              15,              0,       137,           0,          0,            1128,                 0,                0,           410,               0,              0
  49,            62,              15,              0,       139,           0,       1000,            1176,                 0,                0,           424,               0,              0
  50,            63,              15,              0,       142,           0,          0,            1225,                 0,              999,           434,               0,              0
  51,            65,              16,              0,       145,           0,          0,            1275,                 0,                0,           446,               0,           1000
  52,            67,              17,              0,       152,           0,          0,            1326,                 0,                0,           459,               0,              0
  53,            70,              19,              0,       156,           0,          0,            1378,                 0,                0,           470,               0,              0
  54,            73,              21,              0,       160,           0,          0,            1431,                 0,              992,           480,               0,              0
  55,            74,              21,              0,       165,           0,          0,            1485,                 0,             1012,           490,               0,              0
  56,            75,              21,              0,       163,           0,          0,            1540,                 0,              992,           503,               0,              0
  57,            76,              21,              0,       165,           0,          0,            1596,                 0,                0,           517,               0,            996
  58,            77,              21,              0,       179,           0,          0,            1653,                 0,                0,           524,               0,            998
