  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_sort_cmp, bubble_sort_swaps, bubble_sort_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
  0,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
  1,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
  2,             1,               1,              0,         1,           0,          0,               1,                 0,                0,             1,               0,              0
  3,             2,               1,              0,         3,           0,          0,               3,                 0,                0,             3,               0,              0
  4,             4,               2,              0,         4,           0,          0,               6,                 0,                0,             6,               0,              0
  5,             5,               2,              0,         6,           0,          0,              10,                 0,                0,            11,               0,              0
  6,            10,               6,              0,        11,           0,          0,              15,                 0,                0,            15,               0,              0
  7,            13,               8,              0,        14,           0,          0,              21,                 0,                0,            19,               0,              0
  8,            20,              15,              0,        16,           0,          0,              28,                 0,                0,            27,               0,              0
  9,            26,              20,              0,        20,           0,          0,              36,                 0,                0,            33,               0,              0
 10,            34,              27,              0,        21,           0,          0,              45,                 0,                0,            37,               0,              0
 11,            40,              32,              0,        26,           0,          0,              55,                 0,                0,            46,               0,              0
 12,            44,              35,              0,        31,           0,          0,              66,                 0,                0,            51,               0,              0
 13,            55,              45,              0,        36,           0,          0,              78,                 0,                0,            56,               0,              0
 14,            59,              48,              0,        36,           0,          0,              91,                 0,                0,            61,               0,            988
 15,            67,              55,              0,        41,           0,          0,             105,                 0,                0,            68,               0,              0
 16,            70,              57,              0,        45,           0,          0,             120,                 0,                0,            80,               0,              0
 17,            83,              69,              0,        50,           0,          0,             136,                 0,                0,            90,               0,              0
 18,            92,              77,              0,        56,           0,          0,             153,                 0,                0,            99,               0,              0
 19,            95,              79,              0,        59,           0,          0,             171,                 0,                0,           106,               0,              0
 20,           114,              98,              0,        62,           0,          0,             190,                 0,                0,           116,               0,              0
 21,           133,             116,              0,        67,           0,          0,             210,                 0,                0,           124,               0,              0
 22,           154,             136,              0,        70,           0,          0,             231,                 0,                0,           127,               0,           1012
 23,           168,             149,              0,        79,           0,          0,             253,                 0,                0,           137,               0,              0
 24,           182,             162,              0,        84,           0,          0,             276,                 0,                0,           145,               0,              0
 25,           198,             177,              0,        90,           0,          0,             300,                 0,              993,           154,               0,              0
 26,           211,             189,              0,        88,           0,          0,             325,                 0,                0,           164,               0,              0
 27,           235,             212,              0,        97,           0,          0,             351,                 0,             1003,           170,               0,              0
 28,           241,             217,              0,        99,           0,          0,             378,                 0,                0,           179,               0,              0
 29,           248,             223,              0,       103,           0,          0,             406,                 0,                0,           186,               0,              0
 30,           255,             229,              0,       111,           0,          0,             435,                 0,                0,           194,               0,              0
 31,           268,             241,              0,       113,           0,          0,             465,                 0,              999,           202,               0,              0
 32,           280,             252,              0,       121,           0,          0,             496,                 0,                0,           217,               0,              0
 33,           293,             264,              0,       126,           0,       1011,             528,                 0,                0,           226,               0,              0
 34,           321,             291,              0,       133,           0,          0,             561,                 0,                0,           242,               0,            988
 35,           329,             298,              0,       138,           0,          0,             595,                 0,                0,           253,               0,              0
 36,           357,             325,              0,       147,           0,          0,             630,                 0,                0,           260,               0,              0
 37,           386,             353,              0,       154,           0,          0,             666,                 0,             1012,           268,               0,              0
 38,           415,             381,              0,       151,           0,          0,             703,                 0,                0,           275,               0,            996
 39,           419,             384,              0,       157,           0,          0,             741,                 0,                0,           288,               0,              0
 40,           458,             423,           1000,       161,           0,          0,             780,                 0,                0,           301,               0,              0
 41,           486,             450,            981,       166,           0,          0,             820,                 0,                0,           310,               0,              0
 42,           508,             471,           1001,       173,           0,          0,             861,                 0,                0,           320,               0,              0
 43,           538,             500,            995,       180,           0,          0,             903,                 0,                0,           335,               0,              0
 44,           544,             505,           1005,       180,           0,          0,             946,                 0,                0,           347,               0,              0
 45,           558,             518,            998,       182,           0,          0,             990,                 0,                0,           357,               0,              0
 46,           580,             539,           1013,       201,           0,          0,            1035,                 0,                0,           365,               0,              0
 47,           610,             568,           1000,       208,           0,          0,            1081,                 0,                0,           375,               0,           1004
 48,           635,             592,              0,       208,           0,          0,            1128,                 0,             1000,           389,               0,              0
 49,           677,             633,              0,       214,           0,        982,            1176,                 0,                0,           400,               0,              0
 50,           716,             671,            999,       226,           0,          0,            1225,                 0,                0,           409,               0,           1017
 51,           726,             680,              0,       233,           0,          0,            1275,                 0,             1000,           417,               0,              0
 52,           729,             682,              0,       231,           0,       1000,            1326,                 0,                0,           432,               0,              0
 53,           748,             700,            999,       237,           0,          0,            1378,                 0,                0,           443,               0,              0
 54,           800,             751,              0,       243,           0,          0,            1431,                 0,              999,           454,               0,              0
 55,           848,             798,           1003,       254,           0,          0,            1485,                 0,             1002,           462,               0,              0
 56,           884,             833,            976,       256,           0,          0,            1540,                 0,              999,           472,               0,              0
 57,           908,             856,              0,       261,           0,          0,            1596,                 0,             1012,           479,               0,              0
 58,           949,             896,           1000,       266,           0,          0,            1653,                 0,             1984,           497,               0,              0
