   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_sort_cmp, bubble_sort_swaps, bubble_sort_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
   0,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
   1,             0,               0,              0,         0,           0,          0,               0,                 0,                0,             0,               0,              0
   2,             1,               0,              0,         1,           0,          0,               1,                 0,                0,             1,               0,              0
   3,             3,               1,              0,         2,           0,          0,               3,                 0,                0,             3,               0,              0
   4,             4,               1,              0,         5,           0,          0,               6,                 0,                0,             7,               0,              0
   5,             8,               4,              0,         8,           0,          0,              10,                 0,                0,            12,               0,              0
   6,            11,               6,              0,        10,           0,          0,              15,                 0,                0,            16,               0,              0
   7,            16,              10,              0,        13,           0,          0,              21,                 0,                0,            19,               0,              0
   8,            20,              13,              0,        16,           0,          0,              28,                 0,                0,            27,               0,              0
   9,            26,              18,              0,        19,           0,          0,              36,                 0,                0,            35,               0,              0
  10,            28,              19,            990,        25,           0,          0,              45,                 0,                0,            41,               0,              0
  11,            30,              20,              0,        27,           0,          0,              55,                 0,                0,            48,               0,              0
  12,            33,              22,              0,        28,           0,          0,              66,                 0,                0,            57,               0,              0
  13,            34,              22,              0,        32,           0,          0,              78,                 0,                0,            65,               0,              0
  14,            42,              29,              0,        38,           0,          0,              91,                 0,                0,            69,               0,              0
  15,            51,              37,              0,        42,           0,          0,             105,                 0,                0,            73,               0,              0
  16,            62,              47,              0,        46,           0,          0,             120,                 0,                0,            82,               0,              0
  17,            78,              62,              0,        51,           0,        998,             136,                 0,                0,            87,               0,              0
  18,            91,              74,              0,        53,           0,          0,             153,                 0,                0,            97,               0,              0
  19,            96,              78,              0,        59,           0,          0,             171,                 0,                0,           105,               0,              0
  20,           110,              91,              0,        66,           0,          0,             190,                 0,                0,           109,               0,              0
  21,           128,             108,              0,        72,           0,        997,             210,                 0,                0,           119,               0,              0
  22,           131,             110,              0,        75,           0,          0,             231,                 0,                0,           127,               0,              0
  23,           132,             110,              0,        76,           0,          0,             253,                 0,                0,           137,               0,              0
  24,           154,             131,              0,        80,           0,          0,             276,                 0,              999,           151,               0,              0
  25,           176,             152,              0,        84,           0,          0,             300,                 0,                0,           162,               0,              0
  26,           189,             164,              0,        92,           0,          0,             325,                 0,                0,           170,               0,              0
  27,           213,             187,            999,        95,           0,          0,             351,                 0,                0,           177,               0,              0
  28,           235,             208,              0,       104,           0,          0,             378,                 0,                0,           188,               0,              0
  29,           250,             222,           1000,       108,           0,          0,             406,                 0,                0,           199,               0,              0
  30,           266,             237,              0,       113,           0,          0,             435,                 0,                0,           205,               0,              0
  31,           275,             245,              0,       117,           0,          0,             465,                 0,                0,           214,               0,              0
  32,           286,             255,              0,       120,           0,          0,             496,                 0,              999,           225,               0,              0
  33,           312,             280,           1003,       126,           0,          0,             528,                 0,                0,           232,               0,              0
  34,           342,             309,              0,       133,           0,          0,             561,                 0,                0,           240,               0,              0
  35,           373,             339,              0,       136,           0,          0,             595,                 0,                0,           251,               0,              0
  36,           385,             350,            999,       145,           0,          0,             630,                 0,                0,           260,               0,              0
  37,           414,             378,              0,       147,           0,          0,             666,                 0,              999,           269,               0,              0
  38,           437,             400,              0,       152,           0,          0,             703,                 0,             1000,           283,               0,              0
  39,           457,             419,              0,       160,           0,          0,             741,                 0,                0,           295,               0,           1000
  40,           482,             443,              0,       169,           0,          0,             780,                 0,                0,           300,               0,            999
  41,           513,             473,              0,       175,           0,          0,             820,                 0,                0,           306,               0,           1000
  42,           535,             494,              0,       178,           0,          0,             861,                 0,                0,           320,               0,           1000
  43,           573,             531,              0,       183,           0,          0,             903,                 0,                0,           335,               0,            999
  44,           580,             537,              0,       193,           0,          0,             946,                 0,              999,           335,               0,              0
  45,           618,             574,              0,       199,           0,          0,             990,                 0,              999,           349,               0,              0
  46,           622,             577,              0,       197,           0,          0,            1035,                 0,              999,           360,               0,              0
  47,           656,             610,              0,       200,           0,        999,            1081,                 0,                0,           376,               0,              0
  48,           692,             645,           1000,       206,           0,          0,            1128,                 0,                0,           391,               0,              0
  49,           720,             672,            999,       212,           0,          0,            1176,                 0,             1004,           404,               0,              0
  50,           735,             686,            995,       219,           0,          0,            1225,                 0,                0,           413,               0,              0
  51,           776,             726,            999,       229,           0,          0,            1275,                 0,              999,           429,               0,              0
  52,           789,             738,              0,       232,           0,          0,            1326,                 0,                0,           437,               0,              0
  53,           791,             739,           1000,       236,           0,          0,            1378,                 0,             1008,           452,               0,              0
  54,           832,             779,              0,       244,           0,        996,            1431,                 0,                0,           471,               0,              0
  55,           863,             809,            999,       248,           0,          0,            1485,                 0,              999,           475,               0,              0
  56,           882,             827,            999,       263,           0,          0,            1540,                 0,                0,           484,               0,            999
  57,           896,             840,              0,       267,           0,          0,            1596,                 0,              999,           487,               0,              0
  58,           906,             849,           1000,       267,           0,          0,            1653,                 0,              999,           508,               0,              0
