    n, merge_cmp, merge_swaps, merge_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
    0,         0,           0,          0,             0,               0,              0
    1,         0,           0,          0,             0,               0,              0
    2,         1,           0,          0,             1,               0,              0
    3,         2,           0,          0,             3,               0,              0
    4,         5,           0,          0,             6,               0,              0
    5,         7,           0,          0,            10,               0,              0
    6,        10,           0,          0,            16,               0,              0
    7,        12,           0,          0,            21,               0,              0
    8,        16,           0,          0,            25,               0,              0
    9,        20,           0,          0,            31,               0,              0
   10,        21,           0,          0,            39,               0,              0
   11,        26,           0,          0,            47,               0,              0
   12,        31,           0,          0,            53,               0,              0
   13,        34,           0,          0,            59,               0,              0
   14,        37,           0,          0,            63,               0,              0
   15,        43,           0,          0,            68,               0,              0
   16,        48,           0,          0,            80,               0,              0
   17,        52,           0,          0,            90,               0,              0
   18,        58,           0,          0,            97,               0,              0
   19,        62,           0,          0,           103,               0,              0
   20,        64,           0,          0,           111,               0,              0
   21,        69,           0,          0,           119,               0,              0
   22,        74,           0,          0,           129,               0,            997
   23,        75,           0,          0,           139,               0,              0
   24,        84,           0,          0,           148,               0,              0
   25,        88,           0,          0,           157,               0,              0
   26,        94,           0,          0,           168,               0,           1011
   27,        97,           0,          0,           176,               0,              0
   28,       102,           0,          0,           185,               0,              0
   29,       105,           0,          0,           191,               0,              0
   30,       116,           0,          0,           198,               0,              0
   31,       116,           0,          0,           207,               0,            981
   32,       124,           0,          0,           218,               0,              0
   33,       129,           0,          0,           229,               0,              0
   34,       130,           0,          0,           243,               0,              0
   35,       136,           0,          0,           253,               0,              0
   36,       146,           0,          0,           258,               0,           1005
   37,       153,           0,          0,           272,               0,              0
   38,       156,           0,          0,           282,               0,              0
   39,       158,           0,          0,           291,               0,              0
   40,       163,           0,          0,           302,               0,           1013
   41,       166,           0,          0,           314,               0,              0
   42,       177,           0,          0,           320,               0,              0
   43,       179,           0,          0,           334,               0,              0
   44,       184,           0,          0,           348,               0,              0
   45,       193,           0,          0,           360,               0,              0
   46,       196,           0,          0,           372,               0,              0
   47,       195,           0,          0,           379,               0,            999
   48,       208,           0,          0,           386,               0,              0
   49,       215,           0,          0,           397,               0,              0
   50,       222,           0,          0,           410,               0,           1000
   51,       227,           0,          0,           418,               0,              0
   52,       234,           0,          0,           431,               0,              0
   53,       239,           0,          0,           440,               0,            999
   54,       243,           0,          0,           450,               0,              0
   55,       245,           0,          0,           460,               0,              0
   56,       257,           0,          0,           473,               0,            999
   57,       263,           0,          0,           484,               0,              0
   58,       266,           0,          0,           494,               0,              0
   59,       271,           0,          0,           509,               0,              0
   60,       281,           0,          0,           525,               0,              0
   61,       288,           0,          0,           535,               0,            999
   62,       289,           0,          0,           544,               0,              0
   63,       298,           0,          0,           558,               0,            982
   64,       302,           0,          0,           574,               0,              0
   65,       309,           0,          0,           578,               0,           1006
   66,       317,           0,          0,           591,               0,              0
   67,       322,           0,          0,           602,               0,              0
   68,       329,           0,          0,           616,               0,              0
   69,       333,           0,          0,           628,               0,              0
   70,       344,           0,       1013,           646,               0,              0
   71,       347,           0,          0,           651,               0,              0
   72,       358,           0,          0,           666,               0,              0
   73,       365,           0,          0,           682,               0,            999
   74,       371,           0,          0,           692,               0,            983
   75,       377,           0,          0,           696,               0,            998
   76,       388,           0,          0,           709,               0,              0
   77,       389,           0,          0,           718,               0,           1013
   78,       396,           0,          0,           735,               0,              0
   79,       395,           0,       1004,           750,               0,              0
   80,       409,           0,          0,           761,               0,           1000
   81,       417,           0,          0,           773,               0,              0
   82,       417,           0,          0,           783,               0,            999
   83,       417,           0,          0,           796,               0,           1000
   84,       437,           0,          0,           808,               0,              0
   85,       442,           0,          0,           823,               0,           1031
   86,       440,           0,          0,           832,               0,              0
   87,       449,           0,       1000,           852,               0,              0
   88,       458,           0,          0,           869,               0,           1005
   89,       466,           0,          0,           879,               0,            995
   90,       474,           0,          0,           890,               0,              0
   91,       482,           0,          0,           901,               0,           1007
   92,       483,           0,          0,           919,               0,            982
   93,       491,           0,          0,           922,               0,              0
   94,       492,           0,          0,           933,               0,              0
   95,       499,           0,       1012,           945,               0,              0
   96,       513,           0,          0,           971,               0,           1000
   97,       519,           0,          0,           985,               0,            987
   98,       529,           0,          0,           990,               0,            999
   99,       531,           0,          0,           999,               0,              0
  100,       546,           0,       1013,          1017,               0,              0
  101,       551,           0,          0,          1032,               0,           1004
  102,       549,           0,          0,          1053,               0,            999
  103,       561,           0,          0,          1059,               0,              0
  104,       573,           0,          0,          1071,               0,              0
  105,       578,           0,          0,          1086,               0,           1039
  106,       583,           0,          0,          1097,               0,            994
  107,       594,           0,          0,          1101,               0,           1004
  108,       596,           0,          0,          1127,               0,           1000
  109,       601,           0,          0,          1124,               0,              0
  110,       608,           0,          0,          1128,               0,              0
  111,       614,           0,        986,          1149,               0,              0
  112,       630,           0,       1010,          1157,               0,              0
  113,       637,           0,        986,          1186,               0,              0
  114,       640,           0,        999,          1197,               0,              0
  115,       651,           0,       1013,          1212,               0,              0
  116,       646,           0,        986,          1225,               0,              0
  117,       653,           0,       1012,          1241,               0,              0
  118,       660,           0,       1004,          1248,               0,              0
  119,       663,           0,       1000,          1255,               0,              0
  120,       681,           0,        999,          1264,               0,              0
  121,       687,           0,       1000,          1283,               0,              0
  122,       692,           0,        999,          1299,               0,              0
  123,       702,           0,       1000,          1306,               0,              0
  124,       706,           0,        999,          1324,               0,              0
  125,       710,           0,          0,          1339,               0,            999
  126,       721,           0,          0,          1351,               0,           1000
  127,       728,           0,          0,          1370,               0,            982
  128,       735,           0,          0,          1377,               0,           1017
  129,       742,           0,          0,          1402,               0,            995
  130,       745,           0,          0,          1416,               0,            998
  131,       754,           0,        987,          1429,               0,              0
  132,       768,           0,       1013,          1436,               0,              0
